simTime,MCC_idx,packet_is_loss
9.70005048,3,1
9.70006048,4,1
9.70007048,2,1
9.80003048,1,1
9.80004048,0,1
9.80005048,3,1
9.80006048,4,1
9.80007048,3,1
9.90003048,4,1
9.90004048,2,1
9.90005048,4,1
9.90006048,2,1
9.90007048,0,1
10.00003048,1,1
10.00004048,0,1
10.00005048,1,1
10.00006048,2,1
10.00007048,1,1
10.10003048,2,1
10.10005048,1,1
10.10006048,2,1
10.10007048,3,1
10.20003048,4,1
10.20004048,3,1
10.20005048,4,1
10.20006048,2,1
10.30003048,1,1
10.30004048,4,1
10.30005048,3,1
10.30006048,2,1
10.30007048,1,1
10.40003048,4,1
10.40005048,4,1
10.40006048,2,1
10.40007048,0,1
10.50003048,3,1
10.50004048,2,1
10.50005048,1,1
10.50006048,2,1
10.50007048,1,1
10.60003048,1,1
10.60004048,4,1
10.60006048,0,1
10.60007048,2,1
10.70003048,2,1
10.70005048,1,1
10.70007048,2,1
10.80003048,1,1
10.80004048,2,1
10.80005048,1,1
10.80007048,2,1
10.90003048,2,1
10.90004048,0,1
10.90005048,3,1
10.90006048,2,1
10.90007048,3,1
11.00003048,1,1
11.00004048,3,1
11.00005048,4,1
11.00006048,2,1
11.10003048,2,1
11.10004048,3,1
11.10005048,4,1
11.10006048,2,1
11.20003048,2,1
11.20004048,3,1
11.20005048,0,1
11.20006048,2,1
11.30003048,3,1
11.30004048,4,1
11.30005048,1,1
11.30006048,2,1
11.30007048,1,1
11.40003048,1,1
11.40004048,3,1
11.40005048,0,1
11.40006048,2,1
11.40007048,1,1
11.50003048,4,1
11.50004048,2,1
11.50005048,4,1
11.50006048,2,1
11.50007048,1,1
11.60003048,2,1
11.60005048,1,1
11.60006048,0,1
11.60007048,1,1
11.70003048,2,1
11.70004048,4,1
11.70006048,0,1
11.70007048,3,1
11.80003048,1,1
11.80004048,3,1
11.80005048,1,1
11.80006048,0,1
11.90003048,3,1
11.90004048,4,1
11.90005048,1,1
11.90007048,3,1
12.00003048,2,1
12.00004048,3,1
12.00005048,4,1
12.00006048,2,1
12.00007048,3,1
12.10003048,3,1
12.10004048,0,1
12.10005048,3,1
12.10006048,4,1
12.10007048,1,1
12.20003048,1,1
12.20004048,3,1
12.20005048,0,1
12.20006048,4,1
12.20007048,2,1
12.30003048,4,1
12.30004048,2,1
12.30005048,3,1
12.30006048,1,1
12.30007048,3,1
12.40003048,4,1
12.40005048,0,1
12.40006048,1,1
12.40007048,2,1
12.50003048,3,1
12.50004048,4,1
12.50005048,3,1
12.50006048,0,1
12.50007048,2,1
12.60003048,2,1
12.60004048,4,1
12.60005048,1,1
12.60006048,0,1
12.60007048,1,1
12.70003048,1,1
12.70004048,2,1
12.70005048,4,1
12.70006048,2,1
12.70007048,1,1
12.80003048,3,1
12.80004048,2,1
12.80005048,0,1
12.80006048,4,1
12.80007048,1,1
12.90003048,4,1
12.90004048,3,1
12.90006048,4,1
12.90007048,3,1
13.00003048,4,1
13.00004048,3,1
13.00005048,0,1
13.00007048,1,1
13.10003048,4,1
13.10004048,0,1
13.10006048,4,1
13.10007048,2,1
13.20003048,4,1
13.20005048,1,1
13.20006048,2,1
13.20007048,3,1
13.30003048,3,1
13.30005048,4,1
13.30006048,0,1
13.30007048,1,1
13.40003048,1,1
13.40004048,2,1
13.40005048,3,1
13.40006048,4,1
13.40007048,0,1
13.50003048,1,1
13.50004048,2,1
13.50005048,1,1
13.50006048,2,1
13.50007048,0,1
13.60003048,2,1
13.60004048,4,1
13.60005048,0,1
13.60007048,2,1
13.70003048,3,1
13.70005048,1,1
13.70006048,2,1
13.80003048,2,1
13.80004048,4,1
13.80005048,1,1
13.80006048,2,1
13.80007048,1,1
13.90003048,1,1
13.90004048,0,1
13.90005048,1,1
13.90006048,4,1
13.90007048,0,1
14.00003048,2,1
14.00005048,4,1
14.00006048,0,1
14.00007048,3,1
14.10003048,1,1
14.10004048,0,1
14.10005048,3,1
14.10006048,2,1
14.10007048,0,1
14.20003048,1,1
14.20004048,3,1
14.20005048,1,1
14.20006048,0,1
14.30003048,3,1
14.30004048,2,1
14.30005048,4,1
14.30006048,1,1
14.40003048,1,1
14.40004048,3,1
14.40005048,0,1
14.40007048,0,1
14.50003048,4,1
14.50004048,0,1
14.50005048,4,1
14.50007048,1,1
14.60003048,4,1
14.60004048,0,1
14.60006048,0,1
14.60007048,1,1
14.70003048,3,1
14.70004048,4,1
14.70005048,1,1
14.70007048,1,1
14.80003048,4,1
14.80004048,2,1
14.80005048,1,1
14.80006048,4,1
14.80007048,1,1
14.90003048,1,1
14.90004048,4,1
14.90005048,0,1
14.90006048,1,1
15.00003048,4,1
15.00004048,0,1
15.00006048,1,1
15.00007048,0,1
15.10003048,3,1
15.10005048,1,1
15.10006048,0,1
15.20003048,4,1
15.20005048,4,1
15.20006048,2,1
15.30003048,4,1
15.30004048,3,1
15.30005048,1,1
15.30006048,2,1
15.30007048,3,1
15.40003048,1,1
15.40004048,0,1
15.40006048,1,1
15.50003048,4,1
15.50004048,2,1
15.50005048,1,1
15.50006048,2,1
15.50007048,1,1
15.60003048,4,1
15.60005048,3,1
15.60006048,1,1
15.60007048,2,1
15.70003048,1,1
15.70004048,3,1
15.70005048,4,1
15.70006048,1,1
15.80003048,1,1
15.80004048,4,1
15.80005048,3,1
15.80006048,4,1
15.80007048,1,1
15.90003048,2,1
15.90004048,3,1
15.90005048,4,1
15.90006048,1,1
15.90007048,0,1
16.00003048,1,1
16.00004048,4,1
16.00006048,1,1
16.00007048,3,1
16.10003048,3,1
16.10004048,2,1
16.10005048,0,1
16.10006048,4,1
16.10007048,1,1
16.20003048,3,1
16.20004048,2,1
16.20005048,0,1
16.20006048,2,1
16.20007048,0,1
16.30003048,3,1
16.30004048,4,1
16.30006048,4,1
16.30007048,1,1
16.40003048,2,1
16.40004048,4,1
16.40005048,0,1
16.40006048,2,1
16.40007048,3,1
16.50003048,1,1
16.50004048,4,1
16.50006048,1,1
16.60003048,4,1
16.60004048,2,1
16.60005048,1,1
16.60007048,3,1
16.70003048,4,1
16.70004048,0,1
16.70005048,3,1
16.70006048,2,1
16.80003048,4,1
16.80005048,1,1
16.80006048,4,1
16.80007048,3,1
16.90003048,2,1
16.90004048,4,1
16.90005048,0,1
16.90006048,2,1
