simTime,MCCIndex,specWeatherModel
5.5,1,45.8981
5.50001,1,45.8981
5.5,2,11.2203
5.50001,2,11.2203
5.5,3,77.8231
5.50001,3,77.8231
5.5,4,141.819
5.50001,4,166.716
5.6,0,59.7089
5.60001,0,59.7089
5.6,1,45.8981
5.60001,1,45.8981
5.6,2,11.2203
5.60001,2,11.2203
5.6,3,77.8231
5.60001,3,55.9245
5.6,4,166.716
5.60001,4,166.716
5.7,0,59.7089
5.70001,0,67.3898
5.7,1,45.8981
5.70001,1,21.0835
5.7,2,11.2203
5.70001,2,11.2203
5.7,3,55.9245
5.70001,3,55.9245
5.7,4,166.716
5.70001,4,154.884
5.8,0,67.3898
5.80001,0,57.6266
5.8,1,21.0835
5.80001,1,43.1647
5.8,2,11.2203
5.80001,2,11.2203
5.8,3,55.9245
5.80001,3,55.9245
5.8,4,154.884
5.80001,4,175.387
5.9,0,57.6266
5.90001,0,57.6266
5.9,1,43.1647
5.90001,1,43.1647
5.9,2,11.2203
5.90001,2,11.2203
5.9,3,55.9245
5.90001,3,49.6145
5.9,4,175.387
5.90001,4,175.387
6,0,57.6266
6.00001,0,57.6266
6,1,43.1647
6.00001,1,62.4374
6,2,11.2203
6.00001,2,11.2203
6,3,49.6145
6.00001,3,49.6145
6,4,175.387
6.00001,4,175.387
6.1,0,57.6266
6.10001,0,57.6266
6.1,1,62.4374
6.10001,1,62.4374
6.1,2,11.2203
6.10001,2,11.2203
6.1,3,49.6145
6.10001,3,49.6145
6.1,4,175.387
6.10001,4,175.387
6.2,0,57.6266
6.20001,0,57.6266
6.2,1,62.4374
6.20001,1,71.3864
6.2,2,11.2203
6.20001,2,12.5325
6.2,3,49.6145
6.20001,3,49.6145
6.2,4,175.387
6.20001,4,175.387
6.3,0,57.6266
6.30001,0,57.6266
6.3,1,71.3864
6.30001,1,71.3864
6.3,2,12.5325
6.30001,2,12.5325
6.3,3,49.6145
6.30001,3,49.6145
6.3,4,175.387
6.30001,4,175.387
6.4,0,57.6266
6.40001,0,36.0875
6.4,1,71.3864
6.40001,1,71.3864
6.4,2,12.5325
6.40001,2,0
6.4,3,49.6145
6.40001,3,49.6145
6.4,4,175.387
6.40001,4,175.387
