simTime,MCC_idx,packet_is_loss
3.60001024,4,1
3.70001024,0,1
3.70001024,1,1
3.70001024,2,1
3.70001024,3,1
3.70001024,4,1
3.80001024,0,1
3.80001024,1,1
3.80001024,2,1
3.80001024,3,1
3.80001024,4,1
3.90001024,0,1
3.90001024,1,1
3.90001024,2,1
3.90001024,3,1
3.90001024,4,1
4.00001024,0,1
4.00001024,1,1
4.00001024,2,1
4.00001024,3,1
4.00001024,4,1
4.10001024,0,1
4.10001024,1,1
4.10001024,2,1
4.10001024,3,1
4.10001024,4,1
4.20001024,0,1
4.20001024,1,1
4.20001024,2,1
4.20001024,3,1
4.20001024,4,1
4.30001024,0,1
4.30001024,1,1
4.30001024,2,1
4.30001024,3,1
4.30001024,4,1
4.40001024,0,1
4.40001024,1,1
4.40001024,2,1
4.40001024,3,1
4.40001024,4,1
4.50001024,0,1
4.50001024,1,1
4.50001024,2,1
4.50001024,3,1
4.50001024,4,1
4.60001024,0,1
4.60001024,1,1
4.60001024,2,1
4.60001024,3,1
4.60001024,4,1
4.70001024,0,1
4.70001024,1,1
4.70001024,2,1
4.70001024,3,1
4.70001024,4,1
4.80001024,0,1
4.80001024,1,1
4.80001024,2,1
4.80001024,3,1
4.80001024,4,1
4.90001024,0,1
4.90001024,1,1
4.90001024,2,1
4.90001024,3,1
4.90001024,4,1
5.00001024,0,1
5.00001024,1,1
5.00001024,2,1
5.00001024,3,1
5.00001024,4,1
5.10001024,0,1
5.10001024,1,1
5.10001024,2,1
5.10001024,3,1
5.10001024,4,1
5.20001024,0,1
5.20001024,1,1
5.20001024,2,1
5.20001024,3,1
5.20001024,4,1
5.30001024,0,1
5.30001024,1,1
5.30001024,2,1
5.30001024,3,1
5.30001024,4,1
5.40001024,0,1
5.40001024,1,1
5.40001024,2,1
5.40001024,3,1
5.40001024,4,1
5.50001024,0,1
5.50001024,1,1
5.50001024,2,1
5.50001024,3,1
5.50001024,4,1
5.60001024,0,1
5.60001024,1,1
5.60001024,2,1
5.60001024,3,1
5.60001024,4,1
5.70001024,0,1
