simTime,MCCIndex,specWeatherModel,cloudCover,cloudHeight
3.70001,0,35.9489,2,1
3.7,1,0,0,1
3.70001,1,14.9063,1,1
3.7,2,40.8833,2,3.07211
3.70001,2,40.8833,2,3.95146
3.7,3,0,0,1
3.70001,3,0,0,1
3.7,4,14.1404,1,3.26023
3.70001,4,14.1404,1,1
3.8,0,35.9489,2,1
3.80001,0,26.3592,2,3.13798
3.8,1,14.9063,1,1
3.80001,1,1.62476,0,1
3.8,2,40.8833,2,3.95146
3.80001,2,40.8833,2,1
3.8,3,0,0,1
3.80001,3,0,0,1
3.8,4,14.1404,1,1
3.80001,4,14.1404,1,2.5953
3.9,0,26.3592,2,3.13798
3.90001,0,15.1021,1,1
3.9,1,1.62476,0,1
3.90001,1,8.01043,1,4.23025
3.9,2,40.8833,2,1
3.90001,2,40.8833,2,2.32822
3.9,3,0,0,1
3.90001,3,0,0,3.92393
3.9,4,14.1404,1,2.5953
3.90001,4,26.2533,2,4.31689
4,0,15.1021,1,1
4.00001,0,20.486,1,1
4,1,8.01043,1,4.23025
4.00001,1,8.01043,1,1
4,2,40.8833,2,2.32822
4.00001,2,40.8833,2,1
4,3,0,0,3.92393
4.00001,3,0,0,4.99975
4,4,26.2533,2,4.31689
4.00001,4,22.5455,1,2.62994
4.1,0,20.486,1,1
4.10001,0,20.486,1,1
4.1,1,8.01043,1,1
4.10001,1,8.01043,1,1
4.1,2,40.8833,2,1
4.10001,2,40.8833,2,1
4.1,3,0,0,4.99975
4.10001,3,0,0,1
4.1,4,22.5455,1,2.62994
4.10001,4,22.5455,1,1
4.2,0,20.486,1,1
4.20001,0,20.486,1,1
4.2,1,8.01043,1,1
4.20001,1,8.01043,1,1
4.2,2,40.8833,2,1
4.20001,2,40.8833,2,1
4.2,3,0,0,1
4.20001,3,0,0,3.97737
4.2,4,22.5455,1,1
4.20001,4,22.5455,1,1
4.3,0,20.486,1,1
4.30001,0,10.5657,1,1
4.3,1,8.01043,1,1
4.30001,1,8.01043,1,3.42031
4.3,2,40.8833,2,1
4.30001,2,40.8833,2,1
4.3,3,0,0,3.97737
4.30001,3,0,0,1.52223
4.3,4,22.5455,1,1
4.30001,4,22.5455,1,1.57485
4.4,0,10.5657,1,1
4.40001,0,10.5657,1,1
4.4,1,8.01043,1,3.42031
4.40001,1,8.01043,1,1
4.4,2,40.8833,2,1
4.40001,2,40.8833,2,1
4.4,3,0,0,1.52223
4.40001,3,0,0,1
4.4,4,22.5455,1,1.57485
4.40001,4,20.182,1,1.14819
4.5,0,10.5657,1,1
4.50001,0,10.5657,1,1
4.5,1,8.01043,1,1
4.50001,1,8.01043,1,1
4.5,2,40.8833,2,1
4.50001,2,40.8833,2,1
4.5,3,0,0,1
4.50001,3,0,0,1
4.5,4,20.182,1,1.14819
4.50001,4,25.6714,2,1
4.6,0,10.5657,1,1
4.60001,0,10.5657,1,4.68962
4.6,1,8.01043,1,1
4.60001,1,0,0,3.07105
4.6,2,40.8833,2,1
4.60001,2,40.8833,2,1
4.6,3,0,0,1
4.60001,3,0,0,3.24331
4.6,4,25.6714,2,1
4.60001,4,38.4277,2,1
4.7,0,10.5657,1,4.68962
4.70001,0,10.5657,1,3.96547
4.7,1,0,0,3.07105
4.70001,1,0,0,2.51873
4.7,2,40.8833,2,1
4.70001,2,40.8833,2,1
4.7,3,0,0,3.24331
4.70001,3,0,0,1
4.7,4,38.4277,2,1
4.70001,4,30.8228,2,4.25809
4.8,0,10.5657,1,3.96547
4.80001,0,10.5657,1,3.91923
4.8,1,0,0,2.51873
4.80001,1,0,0,1
4.8,2,40.8833,2,1
4.80001,2,40.8833,2,1.43311
4.8,3,0,0,1
4.80001,3,0,0,2.07432
4.8,4,30.8228,2,4.25809
4.80001,4,42.256,2,1
4.9,0,10.5657,1,3.91923
4.90001,0,10.5657,1,1
4.9,1,0,0,1
4.90001,1,0,0,1
4.9,2,40.8833,2,1.43311
4.90001,2,40.8833,2,3.36518
4.9,3,0,0,2.07432
4.90001,3,0,0,3.6412
4.9,4,42.256,2,1
4.90001,4,56.9339,2,1
5,0,10.5657,1,1
5.00001,0,25.5253,2,1
5,1,0,0,1
5.00001,1,1.57151,0,1
5,2,40.8833,2,3.36518
5.00001,2,43.739,2,2.98886
5,3,0,0,3.6412
5.00001,3,0,0,1.94963
5,4,56.9339,2,1
5.00001,4,46.707,2,1
5.1,0,25.5253,2,1
5.10001,0,25.5253,2,1
5.1,1,1.57151,0,1
5.10001,1,1.57151,0,1
5.1,2,43.739,2,2.98886
5.10001,2,42.8446,2,1
5.1,3,0,0,1.94963
5.10001,3,0,0,4.1986
5.1,4,46.707,2,1
5.10001,4,54.2427,2,1.88221
5.2,0,25.5253,2,1
5.20001,0,25.5253,2,3.48008
5.2,1,1.57151,0,1
5.20001,1,1.57151,0,1
5.2,2,42.8446,2,1
5.20001,2,42.8446,2,1
5.2,3,0,0,4.1986
5.20001,3,0,0,1
5.2,4,54.2427,2,1.88221
5.20001,4,54.2427,2,4.97404
5.3,0,25.5253,2,3.48008
5.30001,0,25.5253,2,1
5.3,1,1.57151,0,1
5.30001,1,1.57151,0,1
5.3,2,42.8446,2,1
5.30001,2,51.5259,2,1
5.3,3,0,0,1
5.30001,3,0,0,3.80125
5.3,4,54.2427,2,4.97404
5.30001,4,45.7339,2,1
5.4,0,25.5253,2,1
5.40001,0,25.5253,2,1.97429
5.4,1,1.57151,0,1
5.40001,1,1.57151,0,4.7002
5.4,2,51.5259,2,1
5.40001,2,51.5259,2,1.68427
5.4,3,0,0,3.80125
5.40001,3,0,0,1
5.4,4,45.7339,2,1
5.40001,4,46.6205,2,1
5.5,0,25.5253,2,1.97429
5.50001,0,25.5253,2,1
5.5,1,1.57151,0,4.7002
5.50001,1,0,0,1
5.5,2,51.5259,2,1.68427
5.50001,2,46.6595,2,1.19641
5.5,3,0,0,1
5.50001,3,0,0,1
5.5,4,46.6205,2,1
5.50001,4,50.7629,2,1
5.6,0,25.5253,2,1
5.60001,0,35.4784,2,1
5.6,1,0,0,1
5.60001,1,0,0,1
5.6,2,46.6595,2,1.19641
5.60001,2,46.6595,2,4.5366
5.6,3,0,0,1
5.60001,3,0,0,1.97666
5.6,4,50.7629,2,1
5.60001,4,50.7629,2,4.5197
5.7,0,35.4784,2,1
5.70001,0,41.7284,2,1
5.7,1,0,0,1
5.70001,1,0,0,3.13876
5.7,2,46.6595,2,4.5366
5.70001,2,43.6364,2,2.43862
5.7,3,0,0,1.97666
5.70001,3,0,0,1
5.7,4,50.7629,2,4.5197
5.70001,4,50.7629,2,4.90117
5.8,0,41.7284,2,1
5.80001,0,41.7284,2,1
5.8,1,0,0,3.13876
5.80001,1,0,0,1
5.8,2,43.6364,2,2.43862
5.80001,2,43.6364,2,2.35351
5.8,3,0,0,1
5.80001,3,5.18445,1,1.02491
5.8,4,50.7629,2,4.90117
5.80001,4,50.7629,2,1
