simTime,MCCIndex,specWeatherModel,cloudCover
6.2,4,55.9668,2
6.20001,4,55.9668,2
6.3,0,15.5223,1
6.30001,0,15.5223,1
6.3,1,0,0
6.30001,1,0,0
6.3,2,15.8269,1
6.30001,2,29.4908,2
6.3,3,3.04534,1
6.30001,3,3.04534,1
6.3,4,55.9668,2
6.30001,4,50.6138,2
6.4,0,15.5223,1
6.40001,0,15.5223,1
6.4,1,0,0
6.40001,1,0,0
6.4,2,29.4908,2
6.40001,2,29.4908,2
6.4,3,3.04534,1
6.40001,3,3.04534,1
6.4,4,50.6138,2
6.40001,4,50.6138,2
6.5,0,15.5223,1
6.50001,0,15.5223,1
6.5,1,0,0
6.50001,1,0,0
6.5,2,29.4908,2
6.50001,2,29.4908,2
6.5,3,3.04534,1
6.50001,3,3.04534,1
6.5,4,50.6138,2
6.50001,4,50.6138,2
6.6,0,15.5223,1
6.60001,0,0.990941,0
6.6,1,0,0
6.60001,1,0,0
6.6,2,29.4908,2
6.60001,2,35.6012,2
6.6,3,3.04534,1
6.60001,3,3.04534,1
6.6,4,50.6138,2
6.60001,4,50.6138,2
6.7,0,0.990941,0
6.70001,0,0.990941,0
6.7,1,0,0
6.70001,1,0,0
6.7,2,35.6012,2
6.70001,2,47.6655,2
6.7,3,3.04534,1
6.70001,3,3.04534,1
6.7,4,50.6138,2
6.70001,4,50.6138,2
6.8,0,0.990941,0
6.80001,0,0,0
6.8,1,0,0
6.80001,1,0,0
6.8,2,47.6655,2
6.80001,2,47.5171,2
6.8,3,3.04534,1
6.80001,3,0,0
6.8,4,50.6138,2
6.80001,4,50.6138,2
6.9,0,0,0
6.90001,0,0,0
6.9,1,0,0
6.90001,1,0,0
6.9,2,47.5171,2
6.90001,2,47.5171,2
6.9,3,0,0
6.90001,3,0,0
6.9,4,50.6138,2
6.90001,4,32.6439,2
7,0,0,0
7.00001,0,0,0
7,1,0,0
7.00001,1,0,0
7,2,47.5171,2
7.00001,2,45.152,2
7,3,0,0
7.00001,3,7.81436,1
7,4,32.6439,2
7.00001,4,32.6439,2
7.1,0,0,0
7.10001,0,0,0
7.1,1,0,0
7.10001,1,0,0
7.1,2,45.152,2
7.10001,2,42.6473,2
7.1,3,7.81436,1
7.10001,3,7.81436,1
7.1,4,32.6439,2
7.10001,4,32.6439,2
7.2,0,0,0
7.20001,0,0,0
7.2,1,0,0
7.20001,1,0,0
7.2,2,42.6473,2
7.20001,2,42.6473,2
7.2,3,7.81436,1
7.20001,3,16.1668,1
7.2,4,32.6439,2
7.20001,4,32.6439,2
7.3,0,0,0
7.30001,0,0,0
7.3,1,0,0
7.30001,1,0,0
7.3,2,42.6473,2
7.30001,2,48.4318,2
7.3,3,16.1668,1
7.30001,3,16.1668,1
7.3,4,32.6439,2
7.30001,4,32.6439,2
7.4,0,0,0
7.40001,0,0,0
7.4,1,0,0
7.40001,1,0,0
7.4,2,48.4318,2
7.40001,2,48.4318,2
7.4,3,16.1668,1
7.40001,3,16.1668,1
7.4,4,32.6439,2
7.40001,4,32.6439,2
7.5,0,0,0
