simTime,MCC_idx,atmosphericLoss_dB,fspl_dB,power_dBm,weatherAtMCC
5.60002024,2,5.71915,205.161,-136.548,13.8114
5.7,0,5.86441,206.456,-89.7678,9.50089
5.7,1,15.986,206.475,-99.908,30.7342
5.7,2,8.13953,206.648,-92.2348,13.8114
5.7,3,20.1421,206.518,-104.108,39.8732
5.7,4,7.88847,206.556,-91.8918,13.1591
5.70002024,4,0,205.204,-130.871,0
5.8,0,5.86441,206.456,-89.7678,9.50089
5.8,1,15.986,206.475,-99.908,30.7342
5.8,2,8.13953,206.648,-92.2348,13.8114
5.8,3,20.1421,206.518,-104.108,39.8732
5.8,4,0,206.556,-84.0033,0
5.80002024,3,14.1641,205.182,-145.014,39.8732
5.80003024,1,14.8866,205.165,-139.954,42.8494
5.9,0,0,206.456,-83.9034,0
5.9,1,21.2039,206.475,-105.126,42.8494
5.9,2,1.85164,206.648,-85.9469,2.41946
5.9,3,20.1421,206.518,-104.108,39.8732
5.9,4,0,206.556,-84.0033,0
5.90002024,2,1.30103,205.161,-126.265,2.41946
5.90003024,3,14.1641,205.337,-141.348,39.8732
5.90004024,0,0,205.143,-125.046,0
6,0,0,206.456,-83.9034,0
6,1,21.2039,206.475,-105.126,42.8494
6,2,1.85164,206.648,-85.9469,2.41946
6,3,20.1421,206.518,-104.108,39.8732
6,4,2.04418,206.556,-86.0475,2.68695
6.00002024,4,0,205.204,-125.007,0
6.00003024,0,0,205.272,-127.119,0
6.00004024,1,14.8866,205.165,-141.999,42.8494
6.1,0,0,206.456,-83.9034,0
6.1,1,21.2039,206.475,-105.126,42.8494
6.1,2,1.85164,206.648,-85.9469,2.41946
6.1,3,20.1421,206.518,-104.108,39.8732
6.1,4,0,206.556,-84.0033,0
6.10002024,4,0,205.204,-125.007,0
6.10003024,3,10.4789,205.337,-137.663,27.9711
6.10004024,0,7.85241,205.143,-132.899,20.3267
6.2,0,11.1939,206.456,-95.0973,20.3267
6.2,1,21.2039,206.475,-105.126,42.8494
6.2,2,1.85164,206.648,-85.9469,2.41946
6.2,3,14.9015,206.518,-98.8671,27.9711
6.2,4,0,206.556,-84.0033,0
6.20002024,0,11.986,205.272,-139.105,33.4309
6.20003024,3,15.0735,205.208,-140.185,42.9018
6.3,0,17.0864,206.456,-100.99,33.4309
6.3,1,21.2039,206.475,-105.126,42.8494
6.3,2,1.85164,206.648,-85.9469,2.41946
6.3,3,21.4353,206.518,-105.401,42.9018
6.3,4,0,206.556,-84.0033,0
6.30002024,1,18.3448,205.294,-145.485,54.7865
6.30003024,0,7.01031,205.143,-132.057,17.7871
6.4,0,9.99343,206.456,-93.8969,17.7871
6.4,1,26.1298,206.475,-110.052,54.7865
6.4,2,1.85164,206.648,-85.9469,2.41946
6.4,3,21.4353,206.518,-105.401,42.9018
6.4,4,0,206.556,-84.0033,0
6.40002024,0,7.01031,205.272,-134.129,17.7871
6.40003024,1,18.3448,205.165,-143.413,54.7865
6.5,0,9.99343,206.456,-93.8969,17.7871
6.5,1,26.1298,206.475,-110.052,54.7865
6.5,2,1.85164,206.648,-85.9469,2.41946
6.5,3,31.4015,206.518,-115.367,67.2294
6.5,4,0,206.556,-84.0033,0
6.50002024,4,1.48045,205.358,-128.686,2.77901
6.50003024,3,22.0819,205.208,-147.193,67.2294
6.6,0,11.4628,206.456,-95.3662,20.9023
6.6,1,20.2093,206.475,-104.131,40.4948
6.6,2,1.85164,206.648,-85.9469,2.41946
6.6,3,31.4015,206.518,-115.367,67.2294
6.6,4,2.10357,206.556,-86.1068,2.77901
6.60002024,1,14.1883,205.294,-141.329,40.4948
6.60003024,0,5.18423,205.143,-132.334,12.4717
6.7,0,7.3903,206.456,-91.2937,12.4717
6.7,1,20.2093,206.475,-104.131,40.4948
6.7,2,0,206.648,-84.0953,0
6.7,3,31.4015,206.518,-115.367,67.2294
6.7,4,2.10357,206.556,-86.1068,2.77901
6.70002024,3,22.0819,205.337,-147.414,67.2294
6.70003024,0,5.18423,205.143,-132.334,12.4717
6.8,0,7.3903,206.456,-91.2937,12.4717
6.8,1,14.6213,206.475,-98.5433,27.6711
6.8,2,0,206.648,-84.0953,0
6.8,3,31.4015,206.518,-115.367,67.2294
6.8,4,0,206.556,-84.0033,0
6.80002024,3,20.7097,205.337,-146.042,62.342
6.80003024,0,5.18423,205.143,-130.23,12.4717
6.9,0,7.3903,206.456,-91.2937,12.4717
6.9,1,14.6213,206.475,-98.5433,27.6711
6.9,2,0,206.648,-84.0953,0
6.9,3,29.4502,206.518,-113.416,62.342
6.9,4,0,206.556,-84.0033,0
6.90002024,4,0,205.358,-125.354,0
6.90003024,2,5.4101,205.186,-130.5,12.9376
7,0,7.3903,206.456,-91.2937,12.4717
7,1,14.6213,206.475,-98.5433,27.6711
7,2,7.69968,206.648,-91.7949,12.9376
7,3,21.0995,206.518,-105.065,42.1122
7,4,0,206.556,-84.0033,0
7.00002024,2,0,205.186,-125.09,0
7.1,0,7.3903,206.456,-91.2937,12.4717
7.1,1,14.6213,206.475,-98.5433,27.6711
7.1,2,0,206.648,-84.0953,0
7.1,3,21.0995,206.518,-105.065,42.1122
7.1,4,0,206.556,-84.0033,0
7.10002024,1,6.53076,205.294,-131.82,16.2543
7.10003024,1,6.53076,205.165,-131.599,16.2543
7.2,0,7.3903,206.456,-91.2937,12.4717
7.2,1,9.30219,206.475,-93.2242,16.2543
7.2,2,0,206.648,-84.0953,0
7.2,3,21.0995,206.518,-105.065,42.1122
7.2,4,0,206.556,-84.0033,0
7.20002024,4,0,205.358,-125.354,0
7.20003024,2,8.10083,205.186,-133.19,20.8026
7.3,0,0,206.456,-83.9034,0
7.3,1,0.558125,206.475,-84.4801,0.593598
7.3,2,11.5291,206.648,-95.6244,20.8026
7.3,3,21.0995,206.518,-105.065,42.1122
7.3,4,0,206.556,-84.0033,0
7.30002024,1,0.391841,205.139,-125.334,0.593598
7.30003024,3,17.9794,205.182,-143.542,52.7892
7.30004024,3,17.9794,205.208,-143.09,52.7892
7.4,0,0,206.456,-83.9034,0
7.4,1,0.558125,206.475,-84.4801,0.593598
7.4,2,0.991831,206.648,-85.0871,1.16079
7.4,3,25.5675,206.518,-109.533,52.7892
7.4,4,0,206.556,-84.0033,0
7.40002024,1,0,205.139,-124.942,0
7.40003024,4,0,205.204,-125.584,0
7.40004024,3,17.9794,205.337,-144.303,52.7892
7.40005024,1,0,205.165,-125.068,0
7.5,0,0,206.456,-83.9034,0
7.5,1,0,206.475,-83.922,0
7.5,2,0,206.648,-84.0953,0
7.5,3,25.5675,206.518,-109.533,52.7892
7.5,4,0,206.556,-84.0033,0
7.50002024,3,17.9794,205.182,-142.965,52.7892
7.50003024,3,17.9794,205.182,-142.983,52.7892
7.50004024,1,5.57887,205.294,-130.868,13.5044
7.50005024,1,5.57887,205.165,-130.647,13.5044
7.6,0,8.54123,206.456,-92.4447,14.7869
7.6,1,7.94635,206.475,-91.8683,13.5044
7.6,2,0,206.648,-84.0953,0
7.6,3,25.5675,206.518,-109.533,52.7892
7.6,4,0,206.556,-84.0033,0
7.60002024,1,5.57887,205.294,-130.868,13.5044
7.60003024,0,13.6612,205.143,-138.707,38.9934
7.7,0,19.4745,206.456,-103.378,38.9934
7.7,1,7.94635,206.475,-91.8683,13.5044
7.7,2,0,206.648,-84.0953,0
7.7,3,25.5675,206.518,-109.533,52.7892
7.7,4,0,206.556,-84.0033,0
7.70002024,4,0,205.358,-125.354,0
7.70003024,2,0,205.186,-125.09,0
7.8,0,19.4745,206.456,-103.378,38.9934
7.8,1,7.94635,206.475,-91.8683,13.5044
7.8,2,0,206.648,-84.0953,0
7.8,3,32.0365,206.518,-116.002,68.8315
7.8,4,0,206.556,-84.0033,0
7.80002024,4,0,205.358,-125.354,0
7.80003024,2,0.961936,205.186,-126.051,1.69602
7.9,0,19.4745,206.456,-103.378,38.9934
7.9,1,7.94635,206.475,-91.8683,13.5044
7.9,2,1.36903,206.648,-85.4643,1.69602
7.9,3,37.1274,206.518,-121.093,81.8729
7.9,4,0,206.556,-84.0033,0
7.90002024,0,13.6612,205.272,-140.297,38.9934
7.90003024,2,0.961936,205.186,-126.051,1.69602
8,0,19.4745,206.456,-103.378,38.9934
8,1,7.94635,206.475,-91.8683,13.5044
8,2,1.36903,206.648,-85.4643,1.69602
8,3,43.5492,206.518,-127.515,98.7764
8,4,0,206.556,-84.0033,0
8.00002024,4,0,205.358,-126.723,0
8.00003024,1,5.57887,205.165,-130.647,13.5044
