simTime,MCCIndex,specWeatherModel
5.3,0,15.8261
5.30001,0,13.0512
5.3,1,57.0705
5.30001,1,57.0705
5.3,2,9.9768
5.30001,2,9.9768
5.3,3,33.8435
5.30001,3,33.8435
5.3,4,6.75087
5.30001,4,0
5.4,0,13.0512
5.40001,0,9.45301
5.4,1,57.0705
5.40001,1,80.8696
5.4,2,9.9768
5.40001,2,7.48818
5.4,3,33.8435
5.40001,3,33.8435
5.4,4,0
5.40001,4,0
5.5,0,9.45301
5.50001,0,9.45301
5.5,1,80.8696
5.50001,1,66.4168
5.5,2,7.48818
5.50001,2,0
5.5,3,33.8435
5.50001,3,33.8435
5.5,4,0
5.50001,4,0
5.6,0,9.45301
5.60001,0,0
5.6,1,66.4168
5.60001,1,66.4168
5.6,2,0
5.60001,2,0
5.6,3,33.8435
5.60001,3,33.8435
5.6,4,0
5.60001,4,0
5.7,0,0
5.70001,0,9.33763
5.7,1,66.4168
5.70001,1,57.6037
5.7,2,0
5.70001,2,12.1486
5.7,3,33.8435
5.70001,3,33.8435
5.7,4,0
5.70001,4,0
5.8,0,9.33763
5.80001,0,9.33763
5.8,1,57.6037
5.80001,1,57.6037
5.8,2,12.1486
5.80001,2,12.1486
5.8,3,33.8435
5.80001,3,33.8435
5.8,4,0
5.80001,4,0
5.9,0,9.33763
5.90001,0,9.33763
5.9,1,57.6037
5.90001,1,62.8377
5.9,2,12.1486
5.90001,2,12.1486
5.9,3,33.8435
5.90001,3,33.8435
5.9,4,0
5.90001,4,0
6,0,9.33763
6.00001,0,10.099
6,1,62.8377
6.00001,1,62.8377
6,2,12.1486
6.00001,2,15.7089
6,3,33.8435
6.00001,3,17.4353
6,4,0
6.00001,4,2.82372
6.1,0,10.099
6.10001,0,0
6.1,1,62.8377
6.10001,1,62.8377
6.1,2,15.7089
6.10001,2,8.71803
6.1,3,17.4353
6.10001,3,0
6.1,4,2.82372
6.10001,4,2.82372
6.2,0,0
6.20001,0,0
6.2,1,62.8377
6.20001,1,52.2454
6.2,2,8.71803
6.20001,2,10.1251
6.2,3,0
6.20001,3,14.0049
6.2,4,2.82372
6.20001,4,2.82372
6.3,0,0
6.30001,0,0
6.3,1,52.2454
6.30001,1,52.2454
6.3,2,10.1251
6.30001,2,10.6359
6.3,3,14.0049
6.30001,3,14.0049
6.3,4,2.82372
6.30001,4,0
6.4,0,0
6.40001,0,0
6.4,1,52.2454
6.40001,1,52.2454
6.4,2,10.6359
6.40001,2,10.6359
6.4,3,14.0049
6.40001,3,14.0049
6.4,4,0
6.40001,4,0
6.5,0,0
6.50001,0,7.0986
6.5,1,52.2454
6.50001,1,52.2454
6.5,2,10.6359
6.50001,2,3.36595
6.5,3,14.0049
